hub,category,sku,shipped_qty,avg_shipped_qty,current_stock,stock_month,stock_turn,sd_shipped_qty,mode,leg_days,wh_days,leadtime_days,handling_cost,leadtime_days_sd,service_level,holding_cost_per_unit_year,lat,lng,color,safety_stock,eoq,rop,days_to_rop,recommended_mode,rop_date,actual_eoq,expected_pull_next_90d,console_support
SERANGOON,B,SKU_BL,621000,103500.0,2500000,24.15458937,0.4968,10350.0,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,3510,1439,10311,732.1610057,Ocean,3/1/2025,11512.0,,
SERANGOON,B,SKU_BL,621000,103500.0,2500000,24.15458937,0.4968,10350.0,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,3510,1439,10311,732.1610057,Ocean,3/1/2025,11512.0,,
SERANGOON,B,SKU_BM,841661,140276.8333,572280,4.079647269,2.941430768,14027.68333,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,4757,1675,13975,121.1399551,Ocean,3/5/2023,15075.0,,
SERANGOON,B,SKU_BM,841661,140276.8333,572280,4.079647269,2.941430768,14027.68333,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,4757,1675,13975,121.1399551,Ocean,3/5/2023,15075.0,,
SERANGOON,B,SKU_BN,514000,85666.66667,7286000,85.05058366,0.141092506,8566.666667,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,2905,1309,8534,2585.652521,Ocean,30/1/2030,9163.0,,
SERANGOON,B,SKU_BN,514000,85666.66667,7286000,85.05058366,0.141092506,8566.666667,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,2905,1309,8534,2585.652521,Ocean,30/1/2030,9163.0,,
SERANGOON,B,SKU_BB,322780,53796.66667,224000,4.163826755,2.881964286,5379.666667,Ocean,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1824,1037,5359,123.7023877,Ocean,5/5/2023,6222.0,473285.0,False
SERANGOON,B,SKU_BB,322780,53796.66667,224000,4.163826755,2.881964286,5379.666667,Air,1,1,2,10,0.2,0.9,12,1.3521,105.6,0,1824,1037,5359,123.7023877,Ocean,5/5/2023,6222.0,267732.0,False
SHENTON,B,SKU_AU,155490,8520.0,8520,0.328767123,36.5,852.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,2459,18461,17855,0.0,Air,2/1/2023,18461.0,61547.0,False
SHENTON,B,SKU_AU,155490,8520.0,8520,0.328767123,36.5,852.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,978,26107,5457,10.94231585,Air,12/1/2023,26107.0,57643.0,False
SHENTON,B,SKU_BO,78832,25376.0,25376,1.931398417,6.213114754,2537.6,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,7324,31860,53179,0.0,Air,2/1/2023,63720.0,63720.0,False
